1	µ	Ll	MICRO SIGN	μ	GREEK SMALL LETTER MU	μ
1	ℇ	Lu	EULER CONSTANT	Ɛ	LATIN CAPITAL LETTER OPEN E	E
1	ℎ	Ll	PLANCK CONSTANT	h	LATIN SMALL LETTER H	h
1	ℏ	Ll	PLANCK CONSTANT OVER TWO PI	ħ	LATIN SMALL LETTER H WITH STROKE	hbar
1	Ω	Lu	OHM SIGN	Ω	GREEK CAPITAL LETTER OMEGA	omega
1	℧	So	INVERTED OHM SIGN	℧	INVERTED OHM SIGN	ohm
1	Å	Lu	ANGSTROM SIGN	Å	LATIN CAPITAL LETTER A, COMBINING RING ABOVE	A	RING
1	ℂ	Lu	DOUBLE-STRUCK CAPITAL C	C	LATIN CAPITAL LETTER C	C	DOUBLE-STRUCK
1	ℍ	Lu	DOUBLE-STRUCK CAPITAL H	H	LATIN CAPITAL LETTER H	H	DOUBLE-STRUCK
1	ℕ	Lu	DOUBLE-STRUCK CAPITAL N	N	LATIN CAPITAL LETTER N	N	DOUBLE-STRUCK
1	ℙ	Lu	DOUBLE-STRUCK CAPITAL P	P	LATIN CAPITAL LETTER P	P	DOUBLE-STRUCK
1	ℚ	Lu	DOUBLE-STRUCK CAPITAL Q	Q	LATIN CAPITAL LETTER Q	Q	DOUBLE-STRUCK
1	ℝ	Lu	DOUBLE-STRUCK CAPITAL R	R	LATIN CAPITAL LETTER R	R	DOUBLE-STRUCK
1	ℤ	Lu	DOUBLE-STRUCK CAPITAL Z	Z	LATIN CAPITAL LETTER Z	Z	DOUBLE-STRUCK
1	ℼ	Ll	DOUBLE-STRUCK SMALL PI	π	GREEK SMALL LETTER PI	pi	DOUBLE-STRUCK
1	ℽ	Ll	DOUBLE-STRUCK SMALL GAMMA	γ	GREEK SMALL LETTER GAMMA	gamma	DOUBLE-STRUCK
1	ℾ	Lu	DOUBLE-STRUCK CAPITAL GAMMA	Γ	GREEK CAPITAL LETTER GAMMA	gamma	DOUBLE-STRUCK
1	ℿ	Lu	DOUBLE-STRUCK CAPITAL PI	Π	GREEK CAPITAL LETTER PI	Pi		DOUBLE-STRUCK
1	ⅅ	Lu	DOUBLE-STRUCK ITALIC CAPITAL D	D	LATIN CAPITAL LETTER D	D	DOUBLE-STRUCK ITALIC
1	ⅆ	Ll	DOUBLE-STRUCK ITALIC SMALL D	d	LATIN SMALL LETTER D	d	DOUBLE-STRUCK ITALIC
1	ⅇ	Ll	DOUBLE-STRUCK ITALIC SMALL E	e	LATIN SMALL LETTER E	e	DOUBLE-STRUCK ITALIC
1	ⅈ	Ll	DOUBLE-STRUCK ITALIC SMALL I	i	LATIN SMALL LETTER I	i	DOUBLE-STRUCK ITALIC
1	ⅉ	Ll	DOUBLE-STRUCK ITALIC SMALL J	j	LATIN SMALL LETTER J	j	DOUBLE-STRUCK ITALIC
1	ℊ	Ll	SCRIPT SMALL G	g	LATIN SMALL LETTER G	g	SCRIPT
1	ℋ	Lu	SCRIPT CAPITAL H	H	LATIN CAPITAL LETTER H	H	SCRIPT
1	ℐ	Lu	SCRIPT CAPITAL I	I	LATIN CAPITAL LETTER I	I	SCRIPT
1	ℒ	Lu	SCRIPT CAPITAL L	L	LATIN CAPITAL LETTER L	L	SCRIPT
1	ℓ	Ll	SCRIPT SMALL L	l	LATIN SMALL LETTER L	l	SCRIPT
1	ℛ	Lu	SCRIPT CAPITAL R	R	LATIN CAPITAL LETTER R	R	SCRIPT
1	ℬ	Lu	SCRIPT CAPITAL B	B	LATIN CAPITAL LETTER B	B	SCRIPT
1	ℯ	Ll	SCRIPT SMALL E	e	LATIN SMALL LETTER E	e	SCRIPT
1	ℰ	Lu	SCRIPT CAPITAL E	E	LATIN CAPITAL LETTER E	E	SCRIPT
1	ℱ	Lu	SCRIPT CAPITAL F	F	LATIN CAPITAL LETTER F	F	SCRIPT
1	ℳ	Lu	SCRIPT CAPITAL M	M	LATIN CAPITAL LETTER M	M	SCRIPT
1	ℴ	Ll	SCRIPT SMALL O	o	LATIN SMALL LETTER O	o	SCRIPT
1	ℌ	Lu	BLACK-LETTER CAPITAL H	H	LATIN CAPITAL LETTER H	H	BLACK-LETTER
1	ℑ	Lu	BLACK-LETTER CAPITAL I	I	LATIN CAPITAL LETTER I	I	BLACK-LETTER
1	ℜ	Lu	BLACK-LETTER CAPITAL R	R	LATIN CAPITAL LETTER R	R	BLACK-LETTER
1	ℨ	Lu	BLACK-LETTER CAPITAL Z	Z	LATIN CAPITAL LETTER Z	Z	BLACK-LETTER
1	ℭ	Lu	BLACK-LETTER CAPITAL C	C	LATIN CAPITAL LETTER C	C	BLACK-LETTER
1	ℵ	Lo	ALEF SYMBOL	א	HEBREW LETTER ALEF	alef
1	ℶ	Lo	BET SYMBOL	ב	HEBREW LETTER BET	bet
1	ℷ	Lo	GIMEL SYMBOL	ג	HEBREW LETTER GIMEL	gimel
1	ℸ	Lo	DALET SYMBOL	ד	HEBREW LETTER DALET	dalet
1	∞	Sm	INFINITY	∞	INFINITY	infinity
1	∅	Sm	EMPTY SET	∅	EMPTY SET	emptyset
1	⦰	Sm	REVERSED EMPTY SET	⦰	REVERSED EMPTY SET	emptyset
