²	SUPERSCRIPT TWO	2	DIGIT TWO	2
³	SUPERSCRIPT THREE	3	DIGIT THREE	3
¹	SUPERSCRIPT ONE	1	DIGIT ONE	1
⁰	SUPERSCRIPT ZERO	0	DIGIT ZERO	0
ⁱ	SUPERSCRIPT LATIN SMALL LETTER I	i	LATIN SMALL LETTER I	i
⁴	SUPERSCRIPT FOUR	4	DIGIT FOUR	4
⁵	SUPERSCRIPT FIVE	5	DIGIT FIVE	5
⁶	SUPERSCRIPT SIX	6	DIGIT SIX	6
⁷	SUPERSCRIPT SEVEN	7	DIGIT SEVEN	7
⁸	SUPERSCRIPT EIGHT	8	DIGIT EIGHT	8
⁹	SUPERSCRIPT NINE	9	DIGIT NINE	9
⁺	SUPERSCRIPT PLUS SIGN	+	PLUS SIGN	+
⁻	SUPERSCRIPT MINUS	−	MINUS SIGN	-
⁼	SUPERSCRIPT EQUALS SIGN	=	EQUALS SIGN	=
⁽	SUPERSCRIPT LEFT PARENTHESIS	(	LEFT PARENTHESIS	(
⁾	SUPERSCRIPT RIGHT PARENTHESIS	)	RIGHT PARENTHESIS	)
ⁿ	SUPERSCRIPT LATIN SMALL LETTER N	n	LATIN SMALL LETTER N	n
