~	TILDE	~	TILDE	1	~
¬	NOT SIGN	¬	NOT SIGN	1	not
×	MULTIPLICATION SIGN	×	MULTIPLICATION SIGN	1	*
÷	DIVISION SIGN	÷	DIVISION SIGN	1	/
∈	ELEMENT OF	∈	ELEMENT OF	1	in
∓	MINUS-OR-PLUS SIGN	∓	MINUS-OR-PLUS SIGN	1	pm
∞	INFINITY	∞	INFINITY	1	infinity
∧	LOGICAL AND	∧	LOGICAL AND	1	and
∨	LOGICAL OR	∨	LOGICAL OR	1	and
±	PLUS-MINUS SIGN	±	PLUS-MINUS SIGN	1	pm
؆	ARABIC-INDIC CUBE ROOT	؆	ARABIC-INDIC CUBE ROOT	1	cube_root
؇	ARABIC-INDIC FOURTH ROOT	؇	ARABIC-INDIC FOURTH ROOT	1	fourth_root
⁄	FRACTION SLASH	⁄	FRACTION SLASH	1	/
⁒	COMMERCIAL MINUS SIGN	⁒	COMMERCIAL MINUS SIGN	1	-
₋	SUBSCRIPT MINUS	−	MINUS SIGN	1	-
℘	SCRIPT CAPITAL P	℘	SCRIPT CAPITAL P	1	P	SCRIPT
⅀	DOUBLE-STRUCK N-ARY SUMMATION	∑	N-ARY SUMMATION	1	sum	DOUBLE-STRUCK
∀	FOR ALL	∀	FOR ALL	1	forall
∁	COMPLEMENT	∁	COMPLEMENT	1	complement
∂	PARTIAL DIFFERENTIAL	∂	PARTIAL DIFFERENTIAL	1	pdiff
∃	THERE EXISTS	∃	THERE EXISTS	1	exists
∄	THERE DOES NOT EXIST	∄	THERE DOES NOT EXIST	1	not exists
∅	EMPTY SET	∅	EMPTY SET	1	emptyset
∆	INCREMENT	∆	INCREMENT	1	increment
∇	NABLA	∇	NABLA	1	nabla
∉	NOT AN ELEMENT OF	∉	NOT AN ELEMENT OF	1	not in
∊	SMALL ELEMENT OF	∊	SMALL ELEMENT OF	1	in
∋	CONTAINS AS MEMBER	∋	CONTAINS AS MEMBER	1	contains
∌	DOES NOT CONTAIN AS MEMBER	∌	DOES NOT CONTAIN AS MEMBER	1	not contains
∍	SMALL CONTAINS AS MEMBER	∍	SMALL CONTAINS AS MEMBER	1	contains
∏	N-ARY PRODUCT	∏	N-ARY PRODUCT	1	product
∐	N-ARY COPRODUCT	∐	N-ARY COPRODUCT	1	coproduct
∑	N-ARY SUMMATION	∑	N-ARY SUMMATION	1	sum
−	MINUS SIGN	−	MINUS SIGN	1	-
∔	DOT PLUS	∔	DOT PLUS	1	+	DOT
∕	DIVISION SLASH	∕	DIVISION SLASH	1	/
∖	SET MINUS	∖	SET MINUS	1	setminus
∗	ASTERISK OPERATOR	∗	ASTERISK OPERATOR	1	*
∘	RING OPERATOR	∘	RING OPERATOR	1	circ
∙	BULLET OPERATOR	∙	BULLET OPERATOR	1	cdot
√	SQUARE ROOT	√	SQUARE ROOT	1	root
∛	CUBE ROOT	∛	CUBE ROOT	1	cube_root
∜	FOURTH ROOT	∜	FOURTH ROOT	1	fourth_root
∝	PROPORTIONAL TO	∝	PROPORTIONAL TO	1	propto
∟	RIGHT ANGLE	∟	RIGHT ANGLE	1	right_angle
∠	ANGLE	∠	ANGLE	1	angle
∣	DIVIDES	∣	DIVIDES	1	divides
∤	DOES NOT DIVIDE	∤	DOES NOT DIVIDE	1	not divides
∥	PARALLEL TO	∥	PARALLEL TO	1	parallel
∦	NOT PARALLEL TO	∦	NOT PARALLEL TO	1	not parallel
∩	INTERSECTION	∩	INTERSECTION	1	intersection
∪	UNION	∪	UNION	1	union
∫	INTEGRAL	∫	INTEGRAL	1	integral
∮	CONTOUR INTEGRAL	∮	CONTOUR INTEGRAL	1	contour_integral
∯	SURFACE INTEGRAL	∮∮	CONTOUR INTEGRAL	2	surface_integral
∰	VOLUME INTEGRAL	∮∮∮	CONTOUR INTEGRAL	3	volume_integral
∱	CLOCKWISE INTEGRAL	∱	CLOCKWISE INTEGRAL	1	clockwise_integral
∲	CLOCKWISE CONTOUR INTEGRAL	∲	CLOCKWISE CONTOUR INTEGRAL	1	clockwise_contour_integral
∳	ANTICLOCKWISE CONTOUR INTEGRAL	∳	ANTICLOCKWISE CONTOUR INTEGRAL	1	anticlockwise_contour_integral
∴	THEREFORE	∴	THEREFORE	1	therefore
∵	BECAUSE	∵	BECAUSE	1	because
∶	RATIO	∶	RATIO	1	:
∷	PROPORTION	∷	PROPORTION	1	::
∸	DOT MINUS	∸	DOT MINUS	1	-	DOT
∼	TILDE OPERATOR	∼	TILDE OPERATOR	1	~
∽	REVERSED TILDE	∽	REVERSED TILDE	1	~
≀	WREATH PRODUCT	≀	WREATH PRODUCT	1	wreath
≁	NOT TILDE	≁	NOT TILDE	1	not ~
≂	MINUS TILDE	≂	MINUS TILDE	1	- ~
≅	APPROXIMATELY EQUAL TO	≅	APPROXIMATELY EQUAL TO	1	approx
≡	IDENTICAL TO	≡	IDENTICAL TO	1	identical
≢	NOT IDENTICAL TO	≢	NOT IDENTICAL TO	1	not identical
≺	PRECEDES	≺	PRECEDES	1	prec
≻	SUCCEEDS	≻	SUCCEEDS	1	succ
≼	PRECEDES OR EQUAL TO	≼	PRECEDES OR EQUAL TO	1	prec =
≽	SUCCEEDS OR EQUAL TO	≽	SUCCEEDS OR EQUAL TO	1	succ =
⊀	DOES NOT PRECEDE	⊀	DOES NOT PRECEDE	1	not prec
⊁	DOES NOT SUCCEED	⊁	DOES NOT SUCCEED	1	not succ
⊂	SUBSET OF	⊂	SUBSET OF	1	subset
⊃	SUPERSET OF	⊃	SUPERSET OF	1	superset
⊄	NOT A SUBSET OF	⊄	NOT A SUBSET OF	1	not subset
⊅	NOT A SUPERSET OF	⊅	NOT A SUPERSET OF	1	not superset
⊆	SUBSET OF OR EQUAL TO	⊆	SUBSET OF OR EQUAL TO	1	subset_eq
⊇	SUPERSET OF OR EQUAL TO	⊇	SUPERSET OF OR EQUAL TO	1	superset_eq
⊈	NEITHER A SUBSET OF NOR EQUAL TO	⊈	NEITHER A SUBSET OF NOR EQUAL TO	1	not subset_eq
⊉	NEITHER A SUPERSET OF NOR EQUAL TO	⊉	NEITHER A SUPERSET OF NOR EQUAL TO	1	not superset_eq
⊊	SUBSET OF WITH NOT EQUAL TO	⊊	SUBSET OF WITH NOT EQUAL TO	1	subset_neq
⊋	SUPERSET OF WITH NOT EQUAL TO	⊋	SUPERSET OF WITH NOT EQUAL TO	1	superset_neq
⊓	SQUARE CAP	⊓	SQUARE CAP	1	cap	SQUARE
⊔	SQUARE CUP	⊔	SQUARE CUP	1	cup	SQUARE
⊕	CIRCLED PLUS	⊕	CIRCLED PLUS	1	+	CIRCLE
⊖	CIRCLED MINUS	⊖	CIRCLED MINUS	1	-	CIRCLE
⊗	CIRCLED TIMES	⊗	CIRCLED TIMES	1	*	CIRCLE
